Name,Guess PA,Guess ell,Guess RE,X0,Y0,X1,Y1,sma 
J0323+0018,135,0.5,3,,,,,10
J0328-0710,10,0.1,3,,,,,10
J0400-0652,60,0.5,3,,,,,10
J0752+2019,10,0.1,3,,,,,10
J0813+0905,45,0.5,3,,,,,20
J0820+1801,10,0.1,3,,,,,10
J0821+1450,135,0.3,3,,,,,10
J0859+1001,10,0.1,3,,,,,20
J0906+1840,10,0.1,3,,,,,20
J0918+1100,160,0.5,3,,,,,10
J0918+1207,10,0.5,3,65,68,72,54,10
J0918+1406,10,0.1,3,,,,,10
J0926+0724,145,0.3,3,,,,,10
J0932+1611,90,0.4,3,77,79,65,95,10
J0944+1649,135,0.4,3,,,,,10
J1015-0017,10,0.1,3,,,,,20
J1030+0425,30,0.3,3,,,,,10
J1044+0637,80,0.5,3,,,,,10
J1052+0054,90,0.7,3,,,,,20
J1115+1542,160,0.2,3,,,,,20
J1128+0500,160,0.5,3,,,,,20
J1138+0342,160,0.2,3,,,,,20
J1140+0918,10,0.1,3,,,62,50,20
J1144+1111,160,0.5,3,,,,,20
J1204+0335,10,0.1,3,,,,,10
J1215+1344,45,0.2,3,76,86,82,82,20
J1222-0007,160,0.4,3,74,74,104,70,10
J1245+0535,40,0.2,3,,,,,40
J1308+0759,135,0.2,3,,,,,10
J1336+0803,10,0.1,3,,,,,10
J1338+0803,90,0.5,3,,,,,10
J1340-0308,135,0.4,3,,,,,10
J1341-0049,10,0.1,3,,,,,10
J1345+1228,10,0.1,3,,,,,10
J1402+0215,160,0.4,3,,,,,10
J1402+1540,10,0.1,3,,,,,20
J1425-0058,110,0.5,3,,,,,20
J1504+0151,10,0.1,3,,,,,20
J1516+0529,40,0.4,3,,,,,20